Column,Key,Value
"HRMONTH","01","MIN VALUE"
"HRMONTH","12","MAX VALUE"
"HRYEAR4","1998","MIN VALUE"
"HRYEAR4","2999","MAX VALUE"
"HURESPLI","0","MIN VALUE"
"HURESPLI","99","MAX VALUE"
"HUFINAL","001","FULLY COMPLETE CATI INTERVIEW"
"HUFINAL","002","PARTIALLY COMPLETED CATI INTERVIEW"
"HUFINAL","003","COMPLETE BUT PERSONAL VISIT REQUESTED NEXT MONTH"
"HUFINAL","004","PARTIAL, NOT COMPLETE AT CLOSEOUT"
"HUFINAL","005","LABOR FORCE COMPLETE, SUPPLEMENT INCOMPLETE - CATI"
"HUFINAL","006","LF COMPLETE, SUPPLEMENT DK ITEMS INCOMPLETE AT"
"HUFINAL","020","HH OCCUPIED ENTIRELY BY ARMED FORCES MEMBERS"
"HUFINAL","15","YEARS OF AGE"
"HUFINAL","201","CAPI COMPLETE"
"HUFINAL","202","CALLBACK NEEDED"
"HUFINAL","203","SUFFICIENT PARTIAL - PRECLOSEOUT"
"HUFINAL","204","SUFFICIENT PARTIAL - AT CLOSEOUT"
"HUFINAL","205","LABOR FORCE COMPLETE, - SUPPL. INCOMPLETE - CAPI"
"HUFINAL","213","LANGUAGE BARRIER"
"HUFINAL","214","UNABLE TO LOCATE"
"HUFINAL","216","NO ONE HOME"
"HUFINAL","217","TEMPORARILY ABSENT"
"HUFINAL","218","REFUSED"
"HUFINAL","219","OTHER OCCUPIED - SPECIFY"
"HUFINAL","223","ENTIRE HOUSEHOLD ARMED FORCES"
"HUFINAL","224","ENTIRE HOUSEHOLD UNDER 15"
"HUFINAL","225","TEMP. OCCUPIED W/PERSONS WITH URE"
"HUFINAL","226","VACANT REGULAR"
"HUFINAL","227","VACANT - STORAGE OF HHLD FURNITURE"
"HUFINAL","228","UNFIT, TO BE DEMOLISHED"
"HUFINAL","229","UNDER CONSTRUCTION, NOT READY"
"HUFINAL","230","CONVERTED TO TEMP BUSINESS OR STORAGE"
"HUFINAL","231","UNOCCUPIED TENT OR TRAILER SITE"
"HUFINAL","232","PERMIT GRANTED - CONSTRUCTION NOT STARTED"
"HUFINAL","233","OTHER - SPECIFY"
"HUFINAL","240","DEMOLISHED"
